Pri,PriH,PriM,Sec,SecH,SecM,Ter,TerH,TerM
469,659,-190,3116,990,2126,-15187,-5332,-9855
-193,38,-231,6770,5530,1240,2235,3594,-1359
-223,-315,92,-1565,-1178,-387,-3934,-1749,-2185
-98,-98,0,-9829,-8903,-926,21045,17758,3287
144,311,-167,162,3230,-3068,-3565,1425,-4990
-5336,-6213,877,59253,14300,44953,354966,251652,103314
145,175,-30,48,-194,242,2428,2291,137
-66,-549,483,1173,634,539,6236,2521,3715
1165,533,632,4779,3717,1062,-4241,2091,-6332
1999,1544,455,-1579,-270,-1309,808,854,-46
331,228,103,762,-432,1194,103,-422,525
-496,-180,-316,1003,367,636,-2110,-1530,-580
-1998,-1699,-299,8421,-9393,17814,-14787,4963,-19750
897,385,512,-2791,-617,-2174,15912,9816,6096
318,318,0,8315,3050,5265,3225,-2092,5317
762,848,-86,1174,1530,-356,-6423,-603,-5820
-699,-851,152,10750,3692,7058,2227,7802,-5575
-508,26,-534,12411,7686,4725,-9204,-402,-8802
-521,-11,-510,6808,2095,4713,-2646,-4443,1797
3801,3508,293,11769,26688,-14919,-29367,-20751,-8616
1967,2426,-459,7066,3147,3919,1267,3477,-2210
2022,1118,904,114,783,-669,-2026,-1615,-411
72,127,-55,-1452,-2348,896,313,-787,1100
-1042,-792,-250,-24992,-16805,-8187,26077,18252,7825
754,676,78,9593,10742,-1149,-1485,-5067,3582
-92,-92,0,6122,1965,4157,-1319,91,-1410
-505,-380,-125,1633,-4827,6460,-5392,-1357,-4035
1716,1466,250,2510,-4398,6908,-21181,-2445,-18736
709,423,286,-4227,-2121,-2106,-3614,231,-3845
-838,-577,-261,993,884,109,-5146,-2456,-2690
1342,1183,159,-1386,-1468,82,-4013,-2474,-1539
-1394,-1449,55,24157,11694,12463,-24497,-21052,-3445
-1090,-1020,-70,1429,1679,-250,1544,2830,-1286
1629,746,883,4599,363,4236,11846,12593,-747
-1218,-1560,342,3068,3975,-907,1925,1392,533
517,200,317,-2227,-2187,-40,-3664,-975,-2689
-411,-80,-331,-6334,-5011,-1323,-841,4075,-4916
438,508,-70,-1605,-1677,72,-4471,-925,-3546
-84,14,-98,56,-394,450,703,857,-154
